areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-12-09,,6130,
E92000001,England,nation,2021-12-08,,6053,10154
E92000001,England,nation,2021-12-07,,6027,35127
E92000001,England,nation,2021-12-06,,5992,45753
E92000001,England,nation,2021-12-05,,5903,33513
E92000001,England,nation,2021-12-04,,5784,32018
E92000001,England,nation,2021-12-03,,5851,37937
E92000001,England,nation,2021-12-02,,5915,41793
E92000001,England,nation,2021-12-01,,5829,45884
E92000001,England,nation,2021-11-30,,6123,46380
E92000001,England,nation,2021-11-29,,6094,46556
E92000001,England,nation,2021-11-28,,5890,33018
E92000001,England,nation,2021-11-27,,5852,27764
E92000001,England,nation,2021-11-26,146563,5992,32856
E92000001,England,nation,2021-11-25,146509,6068,36215
E92000001,England,nation,2021-11-24,146424,6062,38887
E92000001,England,nation,2021-11-23,146345,6257,40076
E92000001,England,nation,2021-11-22,146251,6424,41895
E92000001,England,nation,2021-11-21,146168,6322,31040
E92000001,England,nation,2021-11-20,146082,6191,29209
E92000001,England,nation,2021-11-19,145988,6310,32461
E92000001,England,nation,2021-11-18,145891,6336,36227
E92000001,England,nation,2021-11-17,145796,6412,37422
E92000001,England,nation,2021-11-16,145708,6623,37682
E92000001,England,nation,2021-11-15,145584,6864,41520
E92000001,England,nation,2021-11-14,145460,6707,28906
E92000001,England,nation,2021-11-13,145361,6639,26799
E92000001,England,nation,2021-11-12,145249,6777,30563
E92000001,England,nation,2021-11-11,145151,6861,32901
E92000001,England,nation,2021-11-10,145034,6961,34559
E92000001,England,nation,2021-11-09,144910,7053,33885
E92000001,England,nation,2021-11-08,144785,7075,35284
E92000001,England,nation,2021-11-07,144662,6910,24879
E92000001,England,nation,2021-11-06,144548,6874,22059
E92000001,England,nation,2021-11-05,144417,7072,23833
E92000001,England,nation,2021-11-04,144296,7201,26073
E92000001,England,nation,2021-11-03,144169,7291,28426
E92000001,England,nation,2021-11-02,144041,7510,30418
E92000001,England,nation,2021-11-01,143916,7535,36747
E92000001,England,nation,2021-10-31,143777,7311,28899
E92000001,England,nation,2021-10-30,143634,7155,27683
E92000001,England,nation,2021-10-29,143516,7113,33264
E92000001,England,nation,2021-10-28,143389,7019,34355
E92000001,England,nation,2021-10-27,143238,6951,35766
E92000001,England,nation,2021-10-26,143105,6883,34548
E92000001,England,nation,2021-10-25,142979,6801,39130
E92000001,England,nation,2021-10-24,142860,6515,29488
E92000001,England,nation,2021-10-23,142743,6386,29177
E92000001,England,nation,2021-10-22,142619,6405,33803
E92000001,England,nation,2021-10-21,142509,6366,37789
E92000001,England,nation,2021-10-20,142397,6299,43111
E92000001,England,nation,2021-10-19,142287,6099,43694
E92000001,England,nation,2021-10-18,142181,5938,48246
E92000001,England,nation,2021-10-17,142087,5623,36772
E92000001,England,nation,2021-10-16,141983,5385,31036
E92000001,England,nation,2021-10-15,141880,5363,35919
E92000001,England,nation,2021-10-14,141774,5289,38467
E92000001,England,nation,2021-10-13,141663,5246,39759
E92000001,England,nation,2021-10-12,141567,5213,40064
E92000001,England,nation,2021-10-11,141473,5206,42281
E92000001,England,nation,2021-10-10,141378,5077,30923
E92000001,England,nation,2021-10-09,141298,4921,26602
E92000001,England,nation,2021-10-08,141206,4975,29265
E92000001,England,nation,2021-10-07,141114,4962,31565
E92000001,England,nation,2021-10-06,141019,5009,31917
E92000001,England,nation,2021-10-05,140944,5006,31593
E92000001,England,nation,2021-10-04,140854,4909,35789
E92000001,England,nation,2021-10-03,140774,4778,26627
E92000001,England,nation,2021-10-02,140698,4652,21442
E92000001,England,nation,2021-10-01,140627,4799,23671
E92000001,England,nation,2021-09-30,140526,4916,26247
E92000001,England,nation,2021-09-29,140434,5017,28141
E92000001,England,nation,2021-09-28,140343,5126,29022
E92000001,England,nation,2021-09-27,140259,5121,33901
E92000001,England,nation,2021-09-26,140179,4949,26269
E92000001,England,nation,2021-09-25,140104,5100,22658
E92000001,England,nation,2021-09-24,140016,5036,25221
E92000001,England,nation,2021-09-23,139920,5214,27715
E92000001,England,nation,2021-09-22,139814,5406,28188
E92000001,England,nation,2021-09-21,139703,5543,29952
E92000001,England,nation,2021-09-20,139608,5727,31457
E92000001,England,nation,2021-09-19,139495,5695,24263
E92000001,England,nation,2021-09-18,139398,5688,20521
E92000001,England,nation,2021-09-17,139297,5910,21914
E92000001,England,nation,2021-09-16,139170,6081,21733
E92000001,England,nation,2021-09-15,139056,6306,21956
E92000001,England,nation,2021-09-14,138938,6344,22143
E92000001,England,nation,2021-09-13,138818,6424,24639
E92000001,England,nation,2021-09-12,138743,6253,17510
E92000001,England,nation,2021-09-11,138641,6206,16605
E92000001,England,nation,2021-09-10,138534,6400,20531
E92000001,England,nation,2021-09-09,138425,6254,23905
E92000001,England,nation,2021-09-08,138289,6302,25062
E92000001,England,nation,2021-09-07,138176,6244,27347
E92000001,England,nation,2021-09-06,138051,6375,32373
E92000001,England,nation,2021-09-05,137926,6167,22975
E92000001,England,nation,2021-09-04,137809,6043,22965
E92000001,England,nation,2021-09-03,137694,6195,28112
E92000001,England,nation,2021-09-02,137572,6186,29979
E92000001,England,nation,2021-09-01,137469,6236,30937
E92000001,England,nation,2021-08-31,137370,6293,32854
E92000001,England,nation,2021-08-30,137274,6002,24400
E92000001,England,nation,2021-08-29,137182,5855,18738
E92000001,England,nation,2021-08-28,137070,5756,19693
E92000001,England,nation,2021-08-27,136966,5889,23713
E92000001,England,nation,2021-08-26,136854,5893,25897
E92000001,England,nation,2021-08-25,136749,5922,27254
E92000001,England,nation,2021-08-24,136665,5911,27552
E92000001,England,nation,2021-08-23,136562,6000,29666
E92000001,England,nation,2021-08-22,136466,5749,21957
E92000001,England,nation,2021-08-21,136359,5575,22146
E92000001,England,nation,2021-08-20,136267,5576,25008
E92000001,England,nation,2021-08-19,136161,5554,28397
E92000001,England,nation,2021-08-18,136064,5514,30694
E92000001,England,nation,2021-08-17,135977,5437,30334
E92000001,England,nation,2021-08-16,135892,5429,30154
E92000001,England,nation,2021-08-15,135816,5115,20838
E92000001,England,nation,2021-08-14,135741,4973,20920
E92000001,England,nation,2021-08-13,135657,5076,24466
E92000001,England,nation,2021-08-12,135578,5029,27071
E92000001,England,nation,2021-08-11,135490,5073,28492
E92000001,England,nation,2021-08-10,135415,5096,26983
E92000001,England,nation,2021-08-09,135344,5098,27629
E92000001,England,nation,2021-08-08,135270,4939,19707
E92000001,England,nation,2021-08-07,135206,4817,19506
E92000001,England,nation,2021-08-06,135116,4879,24298
E92000001,England,nation,2021-08-05,135033,4894,27512
E92000001,England,nation,2021-08-04,134945,4944,28244
E92000001,England,nation,2021-08-03,134867,5116,26414
E92000001,England,nation,2021-08-02,134797,5309,25977
E92000001,England,nation,2021-08-01,134722,5090,18220
E92000001,England,nation,2021-07-31,134649,5057,18005
E92000001,England,nation,2021-07-30,134577,5111,21586
