areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-10-28,,7019,
E92000001,England,nation,2021-10-27,,6951,8786
E92000001,England,nation,2021-10-26,,6883,30405
E92000001,England,nation,2021-10-25,,6801,37505
E92000001,England,nation,2021-10-24,,6515,29117
E92000001,England,nation,2021-10-23,,6386,28873
E92000001,England,nation,2021-10-22,,6405,33686
E92000001,England,nation,2021-10-21,,6366,37685
E92000001,England,nation,2021-10-20,,6299,43028
E92000001,England,nation,2021-10-19,,6099,43586
E92000001,England,nation,2021-10-18,,5938,48150
E92000001,England,nation,2021-10-17,,5623,36741
E92000001,England,nation,2021-10-16,,5385,30997
E92000001,England,nation,2021-10-15,141544,5363,35851
E92000001,England,nation,2021-10-14,141494,5289,38415
E92000001,England,nation,2021-10-13,141416,5246,39718
E92000001,England,nation,2021-10-12,141343,5213,40024
E92000001,England,nation,2021-10-11,141263,5206,42229
E92000001,England,nation,2021-10-10,141180,5077,30888
E92000001,England,nation,2021-10-09,141109,4921,26560
E92000001,England,nation,2021-10-08,141025,4975,29234
E92000001,England,nation,2021-10-07,140938,4962,31538
E92000001,England,nation,2021-10-06,140846,5009,31879
E92000001,England,nation,2021-10-05,140773,5006,31566
E92000001,England,nation,2021-10-04,140688,4909,35751
E92000001,England,nation,2021-10-03,140611,4778,26594
E92000001,England,nation,2021-10-02,140539,4652,21420
E92000001,England,nation,2021-10-01,140469,4799,23640
E92000001,England,nation,2021-09-30,140372,4916,26243
E92000001,England,nation,2021-09-29,140281,5017,28138
E92000001,England,nation,2021-09-28,140194,5126,29016
E92000001,England,nation,2021-09-27,140115,5121,33896
E92000001,England,nation,2021-09-26,140037,4949,26265
E92000001,England,nation,2021-09-25,139963,5100,22655
E92000001,England,nation,2021-09-24,139875,5036,25213
E92000001,England,nation,2021-09-23,139781,5214,27712
E92000001,England,nation,2021-09-22,139678,5406,28185
E92000001,England,nation,2021-09-21,139569,5543,29951
E92000001,England,nation,2021-09-20,139475,5727,31453
E92000001,England,nation,2021-09-19,139364,5695,24263
E92000001,England,nation,2021-09-18,139267,5688,20524
E92000001,England,nation,2021-09-17,139168,5910,21913
E92000001,England,nation,2021-09-16,139043,6081,21733
E92000001,England,nation,2021-09-15,138930,6306,21952
E92000001,England,nation,2021-09-14,138814,6344,22145
E92000001,England,nation,2021-09-13,138696,6424,24641
E92000001,England,nation,2021-09-12,138622,6253,17509
E92000001,England,nation,2021-09-11,138521,6206,16602
E92000001,England,nation,2021-09-10,138414,6400,20530
E92000001,England,nation,2021-09-09,138306,6254,23903
E92000001,England,nation,2021-09-08,138172,6302,25060
E92000001,England,nation,2021-09-07,138059,6244,27350
E92000001,England,nation,2021-09-06,137936,6375,32371
E92000001,England,nation,2021-09-05,137812,6167,22964
E92000001,England,nation,2021-09-04,137699,6043,22966
E92000001,England,nation,2021-09-03,137586,6195,28110
E92000001,England,nation,2021-09-02,137467,6186,29982
E92000001,England,nation,2021-09-01,137365,6236,30938
E92000001,England,nation,2021-08-31,137268,6293,32854
E92000001,England,nation,2021-08-30,137175,6002,24399
E92000001,England,nation,2021-08-29,137083,5855,18733
E92000001,England,nation,2021-08-28,136972,5756,19686
E92000001,England,nation,2021-08-27,136869,5889,23712
E92000001,England,nation,2021-08-26,136759,5893,25897
E92000001,England,nation,2021-08-25,136655,5922,27242
E92000001,England,nation,2021-08-24,136573,5911,27548
E92000001,England,nation,2021-08-23,136472,6000,29667
E92000001,England,nation,2021-08-22,136377,5749,21951
E92000001,England,nation,2021-08-21,136271,5575,22146
E92000001,England,nation,2021-08-20,136179,5576,25004
E92000001,England,nation,2021-08-19,136074,5554,28392
E92000001,England,nation,2021-08-18,135978,5514,30696
E92000001,England,nation,2021-08-17,135891,5437,30332
E92000001,England,nation,2021-08-16,135806,5429,30146
E92000001,England,nation,2021-08-15,135732,5115,20840
E92000001,England,nation,2021-08-14,135659,4973,20908
E92000001,England,nation,2021-08-13,135575,5076,24460
E92000001,England,nation,2021-08-12,135496,5029,27072
E92000001,England,nation,2021-08-11,135409,5073,28490
E92000001,England,nation,2021-08-10,135335,5096,26983
E92000001,England,nation,2021-08-09,135264,5098,27629
E92000001,England,nation,2021-08-08,135191,4939,19704
E92000001,England,nation,2021-08-07,135127,4817,19499
E92000001,England,nation,2021-08-06,135038,4879,24291
E92000001,England,nation,2021-08-05,134955,4894,27516
E92000001,England,nation,2021-08-04,134868,4944,28236
E92000001,England,nation,2021-08-03,134790,5116,26409
E92000001,England,nation,2021-08-02,134721,5309,25973
E92000001,England,nation,2021-08-01,134646,5090,18216
E92000001,England,nation,2021-07-31,134573,5057,18007
E92000001,England,nation,2021-07-30,134501,5111,21588
E92000001,England,nation,2021-07-29,134416,5056,24788
E92000001,England,nation,2021-07-28,134346,5182,26342
E92000001,England,nation,2021-07-27,134277,5163,25434
E92000001,England,nation,2021-07-26,134218,5055,25924
E92000001,England,nation,2021-07-25,134151,4725,19239
E92000001,England,nation,2021-07-24,134091,4476,19849
E92000001,England,nation,2021-07-23,134034,4401,24011
E92000001,England,nation,2021-07-22,133969,4230,27158
E92000001,England,nation,2021-07-21,133896,4063,31043
E92000001,England,nation,2021-07-20,133850,3894,35119
E92000001,England,nation,2021-07-19,133798,3813,42436
E92000001,England,nation,2021-07-18,133724,3546,32494
E92000001,England,nation,2021-07-17,133666,3442,34642
E92000001,England,nation,2021-07-16,133617,3367,50131
E92000001,England,nation,2021-07-15,133574,3241,56370
E92000001,England,nation,2021-07-14,133531,3110,49282
E92000001,England,nation,2021-07-13,133495,2970,42311
E92000001,England,nation,2021-07-12,133456,2798,39639
E92000001,England,nation,2021-07-11,133424,2564,26939
E92000001,England,nation,2021-07-10,133397,2429,24927
E92000001,England,nation,2021-07-09,133363,2352,28462
E92000001,England,nation,2021-07-08,133325,2209,29272
E92000001,England,nation,2021-07-07,133296,2144,33518
E92000001,England,nation,2021-07-06,133268,1998,30962
E92000001,England,nation,2021-07-05,133246,1888,29528
E92000001,England,nation,2021-07-04,133226,1744,21323
E92000001,England,nation,2021-07-03,133203,1636,20207
E92000001,England,nation,2021-07-02,133176,1611,21741
E92000001,England,nation,2021-07-01,133152,1560,23616
E92000001,England,nation,2021-06-30,133127,1500,23407
